artistId,artist
39,"Blake, William"
6550,"Boxer, Stanley"
68,"Burne-Jones, Sir Edward Coley, Bt"
951,"Cox, Stephen"
145,"De Loutherbourg, Philip James"
206,"Gheeraerts, Marcus, II"
1318,"Hoyland, John"
293,"Inchbold, John William"
1365,"Johns, Jasper"
6711,"Kippenberger, Martin"
1416,"Kitaj, R.B."
1602,"Maze, Paul"
1659,"Moore, Henry, OM, CH"
1738,"Paolozzi, Sir Eduardo"
425,"Pickersgill, Henry William"
2374,"Schütte, Thomas"
486,"Serres, John Thomas"
15957,"Tanavoli, Parviz"
2312,"Therrien, Robert"
2747,"Tillmans, Wolfgang"
558,"Turner, Joseph Mallord William"
2132,"Wentworth, Richard"
2597,"Wigram, Max"
11598,"Zaatari, Akram"
